arquivo;nome;confianca;iar_litoral;estrelas_litoral;H_litoral;T_litoral;A_litoral;V_litoral;L_litoral;S_litoral;F_litoral;iar_montanha;estrelas_montanha;H_montanha;T_montanha;A_montanha;V_montanha;L_montanha;S_montanha;F_montanha;status_taxonomico;fontes
cattleya-guttata-var-coerulea.js;Cattleya guttata f. coerulea;alta;98;5;5;5;4;5;5;4;5;64;4;3;3;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
octomeria-diaphana.js;Octomeria diaphana;media;63;4;3;3;4;4;3;4;3;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
acianthera-bragae.js;Acianthera bragae;alta;63;4;3;3;4;4;3;4;3;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
blc-chia-lin.js;Rhyncholaeliocattleya Chia Lin;media;79;4;4;4;3;4;4;4;4;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
octomeria-micrantha.js;Octomeria micrantha;alta;95;5;5;5;4;4;3;4;5;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
gongora-bufonia.js;Gongora bufonia;media;95;5;5;5;4;4;3;4;5;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
pabstiella-trifida.js;Pabstiella trifida;alta;57;3;2;3;4;4;3;4;3;86;5;5;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
laelia-lundii-alba.js;Cattleya lundii f. alba;alta;63;4;3;3;3;4;4;4;3;96;5;5;5;3;4;4;5;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-chocolate-drop.js;Cattlianthe Chocolate Drop;alta;97;5;5;5;3;5;5;4;5;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
cattleya-a-brazilian-dream.js;Cattleya A Brazilian Dream;alta;81;5;4;4;3;5;5;4;4;80;4;4;4;3;4;4;5;4;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
cattleya-violacea-f-suavissima-x-self.js;Cattleya violacea f. suavissima × self;alta;97;5;5;5;5;4;4;4;5;47;3;2;2;4;4;3;4;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-violacea-f-flamea.js;Cattleya violacea f. flamea;alta;97;5;5;5;5;4;4;4;5;47;3;2;2;4;4;3;4;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-nobilior-var-amaliae.js;Cattleya nobilior var. amaliae;alta;97;5;5;5;2;5;5;5;5;45;3;2;2;2;4;4;3;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema');alta;98;5;5;5;3;5;5;5;5;80;4;4;4;3;4;4;5;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
zygopetalum-maculatum.js;Zygopetalum maculatum;alta;32;2;1;1;5;4;3;4;1;97;5;5;5;5;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
phalaenopsis-mannii.js;Phalaenopsis mannii;alta;79;4;4;4;5;4;2;4;4;79;4;4;4;4;4;3;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; AOS/OrchidPro (dados públicos localizados)"
bulbophyllum-falcatum.js;Bulbophyllum falcatum;alta;95;5;5;5;4;4;3;4;5;63;4;3;3;4;4;3;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bulbophyllum-syciobulbon.js;Bulbophyllum sicyobulbon;alta;47;3;2;2;4;4;3;4;2;95;5;5;5;4;4;3;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; AOS/OrchidPro (dados públicos localizados)"
laelia-caulencens.js;Cattleya caulescens;alta;65;4;3;3;3;5;5;4;3;97;5;5;5;3;5;5;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
rodricidium.js;Rodricidium (Rdcm.);baixa;60;3;3;3;3;3;3;3;3;60;3;3;3;3;3;3;3;3;"Híbrido identificado apenas no nível de notogênero; grex/parentais não informados.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
laelia-praestans.js;Cattleya praestans;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
phaius-tankervilleae-alba.js;Calanthe tankervilleae — forma alba;alta;96;5;5;5;5;4;3;4;5;63;4;3;3;4;4;3;4;3;Nome aceito usado na ficha: Calanthe tankervilleae.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
stanhopea-hernandezii.js;Stanhopea hernandezii;media;31;2;1;1;4;4;3;4;1;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
encyclia-oncidioides.js;Encyclia oncidioides;alta;97;5;5;5;3;5;5;4;5;79;4;4;4;3;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
pleurothallis-modestissima.js;Acianthera modestissima;media;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Nome aceito usado na ficha: Acianthera modestissima.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-brasiliensis.js;Maxillaria brasiliensis;media;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
isochilus-linearis.js;Isochilus linearis;alta;95;5;5;5;4;4;3;4;5;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
epidendrum-centropetalum.js;Epidendrum centropetalum;alta;49;3;2;2;4;5;4;4;2;97;5;5;5;4;5;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
miltonia-russelliana.js;Miltonia russelliana;alta;79;4;4;4;4;4;3;4;4;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
promenaea-xanthina.js;Promenaea xanthina;alta;32;2;1;1;5;5;2;4;1;97;5;5;5;5;5;3;4;5;"Nome mantido no catálogo por decisão editorial; POWO adota Promenaea stapelioides subsp. xanthina.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
brassia-lawrenceana.js;Brassia lawrenceana;alta;96;5;5;5;4;4;4;4;5;80;4;4;4;4;4;4;4;4;"Nome mantido no catálogo por decisão editorial; POWO adota Brassia cochleata.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
laelia-splendida.js;Laelia splendida;media;81;5;4;4;3;5;5;4;4;79;4;4;4;3;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
encyclia-alboxanthina.js;Encyclia alboxanthina;alta;97;5;5;5;2;5;5;5;5;62;4;3;3;2;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
phalaenopsis-pulcherrima.js;Phalaenopsis pulcherrima;alta;96;5;5;5;4;4;4;4;5;46;3;2;2;3;4;3;4;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dendrobium-spectabile.js;Dendrobium spectabile;alta;96;5;5;5;4;4;4;4;5;64;4;3;3;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
aerides-odorata.js;Aerides odorata;alta;97;5;5;5;4;5;4;4;5;63;4;3;3;3;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
anathallis-sclerophylla.js;Anathallis sclerophylla;alta;80;4;4;4;5;5;2;4;4;97;5;5;5;5;5;3;4;5;"Nome mantido no catálogo por decisão editorial; POWO adota Stelis sclerophylla.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
